TYPE_RSA_PUBLIC LENGTH_RSA_3072;no;		0.014000;0;0;0
TYPE_RSA_PUBLIC LENGTH_RSA_4096;no;		0.015000;0;0;0
TYPE_RSA_PRIVATE LENGTH_RSA_512;yes;		0.132000;160;0;0
TYPE_RSA_PRIVATE LENGTH_RSA_736;no;		0.013000;0;0;0
TYPE_RSA_PRIVATE LENGTH_RSA_768;yes;		0.131000;224;0;0
TYPE_RSA_PRIVATE LENGTH_RSA_896;yes;		0.142000;256;0;0
TYPE_RSA_PRIVATE LENGTH_RSA_1024;yes;		0.131000;288;0;0
TYPE_RSA_PRIVATE LENGTH_RSA_1280;yes;		0.136000;352;0;0
TYPE_RSA_PRIVATE LENGTH_RSA_1536;yes;		0.131000;416;0;0
TYPE_RSA_PRIVATE LENGTH_RSA_1984;yes;		0.142000;528;0;0
TYPE_RSA_PRIVATE LENGTH_RSA_2048;yes;		0.133000;544;0;0
TYPE_RSA_PRIVATE LENGTH_RSA_3072;no;		0.014000;0;0;0
TYPE_RSA_PRIVATE LENGTH_RSA_4096;no;		0.014000;0;0;0
TYPE_RSA_PRIVATE_TRANSIENT_RESET;yes;		0.152000;40;256;256
TYPE_RSA_PRIVATE_TRANSIENT_DESELECT;yes;		0.152000;40;256;256
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512;yes;		0.288000;300;0;0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736;no;		0.014000;0;0;0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768;yes;		0.297000;412;0;0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896;yes;		0.312000;468;0;0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1024;yes;		0.293000;524;0;0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1280;yes;		0.298000;636;0;0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1536;yes;		0.290000;748;0;0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1984;yes;		0.299000;944;0;0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_2048;yes;		0.307000;972;0;0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_3072;no;		0.014000;0;0;0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_4096;no;		0.013000;0;0;0
TYPE_RSA_CRT_PRIVATE_TRANSIENT_RESET;yes;		0.348000;100;448;448
TYPE_RSA_CRT_PRIVATE_TRANSIENT_DESELECT;yes;		0.350000;100;448;448
TYPE_DSA_PRIVATE LENGTH_DSA_512;no;		0.015000;0;0;0
TYPE_DSA_PRIVATE LENGTH_DSA_768;no;		0.014000;0;0;0
TYPE_DSA_PRIVATE LENGTH_DSA_1024;no;		0.014000;0;0;0
TYPE_DSA_PRIVATE_TRANSIENT_RESET;no;		0.014000;0;0;0
TYPE_DSA_PRIVATE_TRANSIENT_DESELECT;no;		0.014000;0;0;0
TYPE_DSA_PUBLIC LENGTH_DSA_512;no;		0.014000;0;0;0
TYPE_DSA_PUBLIC LENGTH_DSA_768;no;		0.016000;0;0;0
